#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,생년월일,나이,투수,타격,키,몸무게,포지션,등번호,is_pit
1.000,노시환,한화 이글스,104.000,472.000,408.000,124.000,29.000,70.000,85.000,59.000,87.000,2.000,0.322,0.304,0.392,0.574,0.966,0.42,5.86,2000-12-03,24,우투,우타,185,96,내야수,37,0
2.000,최정,SSG 랜더스,98.000,422.000,356.000,107.000,22.000,73.000,69.000,47.000,62.000,5.000,0.306,0.301,0.394,0.548,0.942,0.411,4.71,1987-02-28,37,우투,우타,180,84,3루수,00,0
3.000,김혜성,키움 히어로즈,115.000,514.000,460.000,148.000,6.000,86.000,47.000,46.000,64.000,22.000,0.359,0.322,0.383,0.435,0.818,0.375,4.53,1999-01-27,25,우투,좌타,179,78,내야수,4,0
4.000,양의지,두산 베어스,90.000,356.000,297.000,97.000,10.000,37.000,45.000,49.000,39.000,6.000,0.347,0.327,0.43,0.492,0.922,0.414,4.51,1987-06-05,37,우투,우타,179,85,포수,25,0
5.000,홍창기,LG 트윈스,104.000,489.000,395.000,128.000,1.000,83.000,49.000,68.000,68.000,18.000,0.386,0.324,0.444,0.415,0.859,0.409,4.49,1993-11-21,31,우투,좌타,189,94,외야수,57,0
6.000,구자욱,삼성 라이온즈,83.000,357.000,311.000,107.000,8.000,45.000,55.000,38.000,53.000,7.000,0.391,0.344,0.417,0.518,0.935,0.42,3.85,1993-02-12,31,우투,좌타,189,75,내야수,65,0
7.000,이정후,키움 히어로즈,85.000,386.000,329.000,105.000,6.000,50.000,45.000,49.000,23.000,5.000,0.325,0.319,0.407,0.456,0.863,0.39,3.64,1998-08-20,26,우투,좌타,185,78,외야수,51,0
8.000,강민호,삼성 라이온즈,96.000,381.000,332.000,97.000,14.000,46.000,58.000,40.000,48.000,6.000,0.304,0.292,0.374,0.464,0.838,0.375,3.47,1985-08-18,39,우투,우타,186,100,포수,47,0
9.000,오스틴,LG 트윈스,102.000,439.000,392.000,124.000,16.000,64.000,75.000,40.000,61.000,7.000,0.339,0.316,0.38,0.5,0.88,0.393,3.34,1993-10-14,31,우투,우타,183,97,외야수,23,0
10.000,소크라테스*,KIA 타이거즈,99.000,429.000,381.000,110.000,16.000,66.000,66.000,42.000,60.000,9.000,0.303,0.289,0.357,0.486,0.843,0.373,3.27,1992-09-06,32,좌투,좌타,188,93,외야수,30,0
11.000,박동원,LG 트윈스,99.000,380.000,320.000,81.000,18.000,45.000,65.000,42.000,71.000,0.000,0.265,0.253,0.342,0.478,0.82,0.361,3.16,1990-04-07,34,우투,우타,179,78,포수,27,0
12.000,박건우,NC 다이노스,94.000,402.000,346.000,105.000,9.000,52.000,59.000,45.000,55.000,7.000,0.337,0.303,0.392,0.465,0.857,0.392,3.12,1990-09-08,34,우투,우타,184,80,외야수,37,0
13.000,에레디아,SSG 랜더스,85.000,360.000,325.000,108.000,11.000,50.000,58.000,29.000,53.000,10.000,0.372,0.332,0.396,0.492,0.888,0.399,3.08,1991-01-31,33,좌투,우타,178,88,외야수,27,0
14.000,문보경,LG 트윈스,105.000,444.000,381.000,109.000,7.000,61.000,55.000,48.000,72.000,6.000,0.333,0.286,0.366,0.417,0.783,0.36,2.91,2000-07-19,24,우투,좌타,182,89,내야수,35,0
15.000,마틴,NC 다이노스,79.000,343.000,298.000,87.000,13.000,42.000,59.000,39.000,74.000,11.000,0.341,0.292,0.367,0.48,0.847,0.378,2.85,1995-09-05,29,우투,좌타,175,83,외야수,55,0
16.000,손아섭,NC 다이노스,100.000,440.000,401.000,132.000,5.000,64.000,61.000,31.000,55.000,10.000,0.367,0.329,0.376,0.449,0.825,0.374,2.7,1988-03-18,36,우투,좌타,174,88,외야수,31,0
17.000,최형우,KIA 타이거즈,98.000,416.000,352.000,101.000,14.000,51.000,64.000,54.000,71.000,0.000,0.322,0.287,0.389,0.46,0.849,0.389,2.7,1983-12-16,41,우투,좌타,179,106,외야수,34,0
18.000,오지환,LG 트윈스,88.000,364.000,302.000,78.000,2.000,43.000,43.000,52.000,67.000,14.000,0.325,0.258,0.378,0.351,0.729,0.354,2.65,1990-03-12,34,우투,좌타,186,80,내야수,2,0
19.000,정수빈,두산 베어스,100.000,425.000,367.000,105.000,1.000,51.000,27.000,42.000,44.000,26.000,0.321,0.286,0.365,0.362,0.727,0.345,2.64,1990-10-07,34,좌투,좌타,175,70,외야수,31,0
20.000,알포드,KT 위즈,97.000,402.000,354.000,101.000,11.000,59.000,47.000,40.000,98.000,11.000,0.364,0.285,0.366,0.444,0.81,0.368,2.49,1994-07-20,30,우투,우타,185,95,외야수,25,0
21.000,문성주,LG 트윈스,98.000,403.000,346.000,108.000,2.000,63.000,38.000,47.000,29.000,19.000,0.335,0.312,0.399,0.39,0.789,0.374,2.47,1997-02-20,27,좌투,좌타,175,78,외야수,67,0
22.000,박찬호,KIA 타이거즈,101.000,402.000,356.000,106.000,2.000,54.000,39.000,34.000,47.000,21.000,0.334,0.298,0.357,0.368,0.725,0.339,2.45,1995-06-05,29,우투,우타,178,71,내야수,46,0
23.000,안치홍,롯데 자이언츠,98.000,405.000,345.000,102.000,6.000,45.000,53.000,43.000,40.000,3.000,0.316,0.296,0.38,0.4,0.78,0.361,2.42,1990-07-02,34,우투,우타,178,80,2루수,13,0
24.000,나성범,KIA 타이거즈,39.000,175.000,151.000,51.000,11.000,33.000,35.000,19.000,22.000,0.000,0.328,0.338,0.406,0.629,1.035,0.445,2.32,1989-10-03,35,좌투,좌타,183,96,외야수,47,0
25.000,황재균,KT 위즈,73.000,305.000,272.000,84.000,3.000,43.000,31.000,29.000,48.000,3.000,0.365,0.309,0.376,0.423,0.799,0.368,2.25,1987-07-28,37,우투,우타,183,90,3루수,10,0
26.000,박성한,SSG 랜더스,101.000,414.000,360.000,95.000,7.000,44.000,37.000,50.000,44.000,2.000,0.281,0.264,0.35,0.361,0.711,0.333,2.12,1998-03-30,26,우투,좌타,180,77,내야수,00,0
27.000,김지찬,삼성 라이온즈,77.000,293.000,244.000,71.000,1.000,51.000,14.000,37.000,31.000,10.000,0.33,0.291,0.399,0.332,0.731,0.358,2.08,2001-03-08,23,우투,좌타,163,64,내야수,58,0
28.000,김재호,두산 베어스,59.000,180.000,144.000,48.000,2.000,21.000,19.000,19.000,14.000,2.000,0.357,0.333,0.429,0.417,0.846,0.396,2.04,1985-03-21,39,우투,우타,181,75,유격수,52,0
29.000,박민우,NC 다이노스,88.000,368.000,331.000,100.000,1.000,51.000,30.000,27.000,43.000,18.000,0.343,0.302,0.365,0.375,0.74,0.344,1.97,1993-02-06,31,우투,좌타,183,70,2루수,2,0
30.000,추신수,SSG 랜더스,78.000,334.000,274.000,75.000,7.000,48.000,26.000,47.000,57.000,5.000,0.321,0.274,0.398,0.405,0.803,0.378,1.9,1982-07-13,42,좌투,좌타,180,95,외야수,17,0
31.000,김민혁,KT 위즈,93.000,372.000,332.000,102.000,3.000,57.000,38.000,27.000,40.000,8.000,0.337,0.307,0.358,0.401,0.759,0.349,1.8,1995-11-21,29,우투,좌타,181,71,우익수,4,0
32.000,최재훈,한화 이글스,90.000,313.000,249.000,60.000,1.000,14.000,27.000,38.000,36.000,0.000,0.276,0.241,0.374,0.293,0.667,0.333,1.79,1989-08-27,35,우투,우타,178,76,포수,13,0
33.000,장성우,KT 위즈,99.000,348.000,309.000,80.000,9.000,31.000,51.000,30.000,57.000,1.000,0.286,0.259,0.324,0.398,0.722,0.327,1.75,1990-01-17,34,우투,우타,187,95,포수,22,0
34.000,권희동,NC 다이노스,60.000,238.000,191.000,55.000,4.000,20.000,33.000,35.000,29.000,2.000,0.313,0.288,0.403,0.408,0.811,0.38,1.73,1990-12-31,34,우투,우타,177,85,외야수,63,0
35.000,박해민,LG 트윈스,105.000,416.000,357.000,103.000,3.000,61.000,40.000,36.000,51.000,15.000,0.329,0.289,0.356,0.353,0.709,0.334,1.71,1990-02-24,34,우투,좌타,180,75,외야수,17,0
36.000,채은성,한화 이글스,98.000,435.000,383.000,106.000,15.000,53.000,61.000,38.000,79.000,0.000,0.313,0.277,0.359,0.433,0.792,0.356,1.67,1990-02-06,34,우투,우타,186,92,포수,22,0
37.000,박승욱,롯데 자이언츠,89.000,248.000,214.000,61.000,0.000,29.000,21.000,26.000,61.000,13.000,0.399,0.285,0.365,0.379,0.744,0.352,1.66,1992-12-04,32,우투,좌타,184,76,내야수,53,0
